,Position,Company,State
143,Compensation & Incentive Design Specialist,ITRAMAS Manufacturing  Sdn Bhd,Kuala Lumpur
144,Compliance Analyst (Travel & Expenses),JCT INDUSTRIES GROUP SDN. BHD.,Johor
145,Sales Executive - Penang,Sension Engineering Sdn Bhd,Penang
146,"Specialist / Executive, Order Management",Mudajaya Corporation Berhad,Klang/Port Klang
147,"Account Manager –Digital Marketing, Greater China",Grownce Sdn Bhd,Kuala Lumpur
148,"Manager, Service",AmGeneral Insurance Berhad,Selangor
149,Business Development Consultant,EMCO Executives Sdn Bhd,Penang
150,Operations Manager,HENGYUAN REFINING COMPANY  BERHAD,Company Confidential
151,Sales Admin / Marketing Executive,TBS & Co.,Selangor
152,HR & ADMIN OFFICER,Wearnes Quest Sdn Bhd,Kuala Lumpur
153,Manager Construction,Toyoshima Corporation (M) Sdn Bhd,Company Confidential
154,Marketing Executive,AIA Bhd.,Selangor
155,Children Enrichment Program Teacher,Alliance Bank Malaysia Berhad,Company Confidential
156,"Executive, Portfolio Analyst",Institute of Enterprise Risk Practitioners,Ipoh
157,Human Resource Executive,Hempel Manufacturing (Malaysia) Sdn Bhd,Perai
158,Internship for Engineering Students 2021,Commerz Trade Services Sdn Bhd,Kedah
159,Audit cum Tax Junior,Duramitt Sdn Bhd,Johor Bahru
160,Assistant Finance Manager,Taylor's University,Selangor
161,PRODUCTION PLANNER,Envirograft (M) Sdn Bhd.,Company Confidential
162,Branch Executive (6 Months contract) - Ipoh,Vesuvius Malaysia Sdn Bhd,Selangor
163,Branch Manager - Sitiawan,Dreamland Corporation (M) Sdn Bhd,Johor Bahru
164,Head of Business Development,JC CREATIVE RESOURCES,Kuala Lumpur
165,Trade Finance Document Analyst,Nirvana Asia Group,Port Dickson
166,Finance Manager,Dreamland Corporation (M) Sdn Bhd,Kuala Lumpur
167,Education Counselor,M-Fischer Tech  Sdn Bhd,Selangor
168,Import Cum Purchaser,Esco Micro (M) Sdn Bhd,Perai
169,Production Technician (Electronic PCBA),Select Group Pte Ltd,Ipoh
170,Production Planner,United Straits M & E Sdn Bhd,Perak
171,SALES COORDINATOR,Sterrific,Petaling Jaya
172,SALES ADMIN,KEY CONSULT (PG) SDN. BHD.,Kluang
173,Planning Engineer,Global Enterprise International Malaysia Sdn Bhd (Member of Singtel Group),Kuala Lumpur
174,Site Supervisor (Melaka),Omniraise Sdn Bhd,Kulim
175,ACCOUNTANT,Omniraise Sdn Bhd,Selangor
176,SHIPPING OFFICER,EXCEL FIRE ENGINEERING SDN BHD,Johor Bahru
177,Customer Service Inside Sales,Regent International School,Company Confidential
178,Operational Manager / Head of Operations (Based in Indonesia),Chang Hua Construction Pte Ltd,Klang/Port Klang
179,Electrical Engineer,Inter Great (M) Sdn Bhd,Klang/Port Klang
180,Digital Marketing Executive,UG PRESS SDN. BHD.,Selayang
181,COMPANY SECRETARY ASSISTANT,Bold Vision Sdn Bhd,Kajang/Bangi/Serdang
182,System Administrator (Middleware),Xin Hwa Holdings Berhad,Kuantan
183,Event Administrator,Sendi Mahir Sdn Bhd,Alor Gajah
184,Sales Manager Sarawak,THAT HIN LOONG MARKETING SDN BHD,Selayang
185,technician - fire extinguisher,Shell Business Operations Kuala Lumpur,Johor Bahru
186,"Educators - Add Maths, Maths",Leo Ceramiko Sdn Bhd,Shah Alam/Subang
187,Administrative Executive (CONTRACT),Zelcos Laboratory Sdn. Bhd.,Selangor
188,Admin Executive,JESS Technology Sdn Bhd,Petaling Jaya
189,Quality Control / R&D Executive,JESS Technology Sdn Bhd,Bayan Lepas
190,CUSTOMER SERVICE,Infineon Technologies (Malaysia) Sdn Bhd,Selangor
191,Logistic Assistant - Dispatch (Base in Melaka),Octafa Consulting Sdn Bhd,Kuala Lumpur
192,Storekeeper,Jora Jobs,Kuala Lumpur
193,Customer Ops Specialist,ACA Pacific Technology (M) Sdn Bhd,Selangor
194,Administrative Assistant,Integrated Health Plans (Malaysia) Sdn Bhd,Maldives
195,Business Development Consultant,MicroLambda Sdn Bhd,Bayan Lepas
196,Marketing Executive,Coway (Malaysia) Sdn Bhd,Selangor
197,Technician Electronic (Puchong),Adena Beach Resort Kuantan,Selangor
198,Staff Analyst Financial Controlling,INTCO MALAYSIA SDN. BHD.,Melaka
199,Business Analyst,JD SPORTS FASHION SDN. BHD.,Rawang
200,Admin Clerk,Top Glove Corporation Berhad,Selangor
201,Marketing Executive,Flex,Selangor
202,Digital Performance Marketing Manager,AVEX GROUP,Kuala Lumpur
203,Claims Officer / Executive,Top Glove Corporation Berhad,Company Confidential
204,Purchasing Administrator,Jungheinrich Lift Truck Malaysia Sdn Bhd,Penang
205,SALES & MARKETING EXECUTIVE,Intecorr Consultancy,Melaka
206,Electrical Engineer,Ormond Group,Kuala Lumpur
